CustomerID,Recency,Frequency,Monetary,cluster,SegmentRecency,SegmentMonetary,SegmentFrequency
12394,64,2,1272.48,Silver,Warm,High,Low
12395,19,12,3018.63,Silver,Active,High,High
12397,36,2,2409.9,Silver,Warm,High,Low
12398,46,1,1635.6599999999999,Silver,Warm,High,Low
12399,119,4,1108.65,Silver,Cool,Medium,Medium
12401,303,1,84.3,Bronze,Inactive,Low,Low
12402,323,1,225.6,Bronze,Inactive,Low,Low
12403,50,1,427.7,Silver,Warm,Medium,Low
12405,149,1,1710.39,Bronze,Cool,High,Low
12406,22,2,3415.3,Silver,Active,High,Low
12407,50,5,1708.1200000000001,Silver,Warm,High,Medium
12408,33,5,2888.55,Silver,Warm,High,Medium
12409,79,3,11072.67,Silver,Warm,High,Medium
12410,309,2,693.3299999999999,Bronze,Inactive,Medium,Low
12412,75,3,1226.88,Silver,Warm,High,Medium
12413,67,3,758.1,Silver,Warm,Medium,Medium
12414,217,3,562.41,Bronze,Inactive,Medium,Medium
12415,24,21,124914.53,Platinum,Active,High,High
12417,3,9,3649.1,Silver,Active,High,High
12418,113,1,668.58,Silver,Cool,Medium,Low
12420,64,1,600.39,Silver,Warm,Medium,Low
12421,16,4,807.04,Silver,Active,Medium,Medium
12422,96,3,803.5600000000001,Silver,Cool,Medium,Medium
12423,1,8,1859.31,Silver,Active,High,High
12424,163,2,1760.96,Bronze,Cool,High,Low
12425,78,1,777.2,Silver,Warm,Medium,Low
12426,195,1,582.73,Bronze,Inactive,Medium,Low
12427,22,3,825.8,Silver,Active,Medium,Medium
12428,26,9,7956.46,Silver,Active,High,High
12429,9,4,3750.4,Silver,Active,High,Medium
12430,43,1,256.4,Silver,Warm,Low,Low
12431,36,15,6419.95,Gold,Warm,High,High
12432,43,5,5059.32,Silver,Warm,High,Medium
12433,1,7,13375.87,Silver,Active,High,High
12434,85,2,806.14,Silver,Warm,Medium,Low
12435,80,2,7829.89,Silver,Warm,High,Low
12436,100,1,509.01,Silver,Cool,Medium,Low
12437,2,18,4951.41,Gold,Active,High,High
12438,14,2,2906.85,Silver,Active,High,Low
12441,367,1,173.55,Bronze,Inactive,Low,Low
12442,3,1,172.06,Silver,Active,Low,Low
12444,21,5,5005.46,Silver,Active,High,Medium
12445,22,1,133.4,Silver,Active,Low,Low
12446,58,1,1002.3100000000001,Silver,Warm,Medium,Low
12447,243,1,476.49,Bronze,Inactive,Medium,Low
12448,44,1,449.45,Silver,Warm,Medium,Low
12449,22,4,4067.29,Silver,Active,High,Medium
12450,156,2,197.88,Bronze,Cool,Low,Low
12451,11,5,9035.52,Silver,Active,High,Medium
12452,17,2,430.57,Silver,Active,Medium,Low
12453,134,1,707.09,Silver,Cool,Medium,Low
12454,56,1,3528.34,Silver,Warm,High,Low
12455,73,6,2466.86,Silver,Warm,High,High
12456,44,3,3181.04,Silver,Warm,High,Medium
12457,66,7,2363.23,Silver,Warm,High,High
12458,71,2,947.4,Silver,Warm,Medium,Low
12461,94,2,826.88,Silver,Cool,Medium,Low
12462,19,2,1189.59,Silver,Active,Medium,Low
12463,53,4,1344.78,Silver,Warm,High,Medium
12464,10,8,1212.05,Silver,Active,High,High
12465,17,2,742.1899999999999,Silver,Active,Medium,Low
12468,188,2,729.5400000000001,Bronze,Inactive,Medium,Low
12471,2,30,19788.65,Gold,Active,High,High
12472,32,7,6572.11,Silver,Warm,High,High
12473,29,5,3928.0499999999997,Silver,Active,High,Medium
12474,17,18,7324.09,Gold,Active,High,High
12475,54,1,723.38,Silver,Warm,Medium,Low
12476,16,11,6816.42,Silver,Active,High,High
12477,23,6,13219.74,Silver,Active,High,High
12478,4,1,680.99,Silver,Active,Medium,Low
12479,11,1,527.2,Silver,Active,Medium,Low
12480,28,4,3281.63,Silver,Active,High,Medium
12481,23,10,5579.82,Silver,Active,High,High
12483,17,8,2484.98,Silver,Active,High,High
12484,33,6,4527.32,Silver,Warm,High,High
12488,10,3,1298.66,Silver,Active,High,Medium
12489,336,1,334.93,Bronze,Inactive,Low,Low
12490,5,10,5417.93,Silver,Active,High,High
12491,39,1,460.40000000000003,Silver,Warm,Medium,Low
12492,63,2,263.21000000000004,Silver,Warm,Low,Low
12493,166,2,433.74,Bronze,Cool,Medium,Low
12494,16,7,1246.1000000000001,Silver,Active,High,High
12497,82,1,1043.1,Silver,Warm,Medium,Low
12498,21,3,403.70000000000005,Silver,Active,Medium,Medium
12500,23,11,4257.82,Silver,Active,High,High
12501,337,1,2169.39,Bronze,Inactive,High,Low
12502,96,5,3723.87,Silver,Cool,High,Medium
12504,18,2,482.04999999999995,Silver,Active,Medium,Low
12506,233,1,73.5,Bronze,Inactive,Low,Low
12507,134,3,1304.81,Silver,Cool,High,Medium
12508,26,2,397.88,Silver,Active,Medium,Low
12509,284,1,176.5,Bronze,Inactive,Low,Low
12510,143,2,982.5699999999999,Silver,Cool,Medium,Low
12512,66,2,132.18,Silver,Warm,Low,Low
12513,113,1,612.29,Silver,Cool,Medium,Low
12514,267,1,1017.68,Bronze,Inactive,Medium,Low
12515,353,1,383.7,Bronze,Inactive,Low,Low
12516,78,2,1312.06,Silver,Warm,High,Low
12517,28,5,2481.6,Silver,Active,High,Medium
12518,1,5,2056.89,Silver,Active,High,Medium
12519,64,1,330.84,Silver,Warm,Low,Low
12520,79,5,2634.26,Silver,Warm,High,Medium
12521,143,1,599.68,Bronze,Cool,Medium,Low
12522,39,2,192.72,Silver,Warm,Low,Low
12523,19,11,1789.77,Silver,Active,High,High
12524,9,8,4485.72,Silver,Active,High,High
12526,1,3,1316.66,Silver,Active,High,Medium
12527,82,3,348.71000000000004,Silver,Warm,Low,Medium
12528,9,6,1933.48,Silver,Active,High,High
12530,60,4,1662.28,Silver,Warm,High,Medium
12531,15,1,125.22,Silver,Active,Low,Low
12532,30,1,349.83000000000004,Silver,Warm,Low,Low
12534,131,1,1089.18,Silver,Cool,Medium,Low
12535,92,2,716.35,Silver,Cool,Medium,Low
12536,43,3,12601.830000000002,Silver,Warm,High,Medium
12538,29,1,363.95,Silver,Active,Low,Low
12539,22,4,5568.35,Silver,Active,High,Medium
12540,20,17,13400.24,Gold,Active,High,High
12541,30,3,981.18,Silver,Warm,Medium,Medium
12544,36,1,372.7,Silver,Warm,Low,Low
12545,75,2,1000.39,Silver,Warm,Medium,Low
12546,47,2,1161.5,Silver,Warm,Medium,Low
12547,198,2,207.79999999999998,Bronze,Inactive,Low,Low
12548,166,1,95.19999999999999,Bronze,Cool,Low,Low
12550,79,1,964.83,Silver,Warm,Medium,Low
12551,358,1,168.0,Bronze,Inactive,Low,Low
12552,39,2,437.82,Silver,Warm,Medium,Low
12553,8,10,3692.28,Silver,Active,High,High
12556,50,2,599.56,Silver,Warm,Medium,Low
12557,16,5,11990.960000000001,Silver,Active,High,Medium
12558,8,1,269.96,Silver,Active,Low,Low
12559,311,2,561.71,Bronze,Inactive,Medium,Low
12560,5,3,2134.01,Silver,Active,High,Medium
12561,303,1,238.85,Bronze,Inactive,Low,Low
12562,8,7,3781.7400000000002,Silver,Active,High,High
12564,261,1,456.9,Bronze,Inactive,Medium,Low
12565,289,1,145.92,Bronze,Inactive,Low,Low
12566,86,1,351.65,Silver,Warm,Low,Low
12567,23,10,9401.28,Silver,Active,High,High
12569,2,32,4124.69,Gold,Active,High,High
12571,40,2,519.61,Silver,Warm,Medium,Low
12572,9,2,1020.42,Silver,Active,Medium,Low
12573,227,1,160.54000000000002,Bronze,Inactive,Low,Low
12574,316,1,218.45,Bronze,Inactive,Low,Low
12576,36,5,1315.83,Silver,Warm,High,Medium
12577,35,3,626.6,Silver,Warm,Medium,Medium
12578,21,2,2794.51,Silver,Active,High,Low
12579,78,1,440.42,Silver,Warm,Medium,Low
12580,247,1,415.7,Bronze,Inactive,Medium,Low
12581,40,1,197.71,Silver,Warm,Low,Low
12582,239,2,511.36,Bronze,Inactive,Medium,Low
12583,3,15,7281.38,Gold,Active,High,High
12584,4,9,2338.15,Silver,Active,High,High
12585,234,2,2040.1,Bronze,Inactive,High,Low
12586,17,1,196.94000000000003,Silver,Active,Low,Low
12587,8,1,144.0,Silver,Active,Low,Low
12588,39,1,214.89999999999998,Silver,Warm,Low,Low
12589,29,2,646.68,Silver,Active,Medium,Low
12590,211,2,9864.26,Bronze,Inactive,High,Low
12591,317,1,452.84999999999997,Bronze,Inactive,Medium,Low
12592,92,2,437.6,Silver,Cool,Medium,Low
12593,109,3,418.09999999999997,Silver,Cool,Medium,Medium
12594,38,10,3338.2200000000003,Silver,Warm,High,High
12596,51,2,618.27,Silver,Warm,Medium,Low
12597,19,4,3811.22,Silver,Active,High,Medium
12598,10,8,3023.08,Silver,Active,High,High
12599,29,7,1032.58,Silver,Active,Medium,High
12600,29,10,2599.04,Silver,Active,High,High
12601,190,5,577.0600000000001,Bronze,Inactive,Medium,Medium
12602,59,1,153.12,Silver,Warm,Low,Low
12603,22,1,739.1999999999999,Silver,Active,Medium,Low
12604,79,2,254.18,Silver,Warm,Low,Low
12607,60,1,1579.51,Silver,Warm,High,Low
12609,78,3,1126.85,Silver,Warm,Medium,Medium
12610,23,5,2099.54,Silver,Active,High,Medium
12611,52,1,1193.32,Silver,Warm,High,Low
12612,74,1,704.0400000000001,Silver,Warm,Medium,Low
12613,57,5,3344.38,Silver,Warm,High,Medium
12614,278,1,315.6,Bronze,Inactive,Low,Low
12615,2,4,2291.19,Silver,Active,High,Medium
12616,95,2,713.3,Silver,Cool,Medium,Low
12617,29,1,352.98,Silver,Active,Low,Low
12618,22,1,177.31,Silver,Active,Low,Low
12619,16,9,3641.24,Silver,Active,High,High
12620,15,3,1339.41,Silver,Active,High,Medium
12621,2,20,13689.67,Gold,Active,High,High
12622,232,1,180.1,Bronze,Inactive,Low,Low
12623,276,1,305.1,Bronze,Inactive,Low,Low
12624,106,2,641.13,Silver,Cool,Medium,Low
12625,212,2,2683.82,Bronze,Inactive,High,Low
12626,23,9,6620.48,Silver,Active,High,High
12627,11,7,4478.53,Silver,Active,High,High
12628,4,3,786.46,Silver,Active,Medium,Medium
12630,10,2,1270.88,Silver,Active,High,Low
12631,57,1,640.5,Silver,Warm,Medium,Low
12633,59,4,2163.98,Silver,Warm,High,Medium
12635,90,2,1689.18,Silver,Cool,High,Low
12637,67,8,6002.9,Silver,Warm,High,High
12638,33,1,671.69,Silver,Warm,Medium,Low
12639,239,1,486.1,Bronze,Inactive,Medium,Low
12640,24,3,1174.58,Silver,Active,Medium,Medium
12641,115,1,185.9,Silver,Cool,Low,Low
12642,25,3,1013.26,Silver,Active,Medium,Medium
12643,128,6,3344.64,Silver,Cool,High,High
12644,130,1,477.91,Silver,Cool,Medium,Low
12645,34,4,1775.18,Silver,Warm,High,Medium
12646,5,2,1346.97,Silver,Active,High,Low
12647,22,12,3722.82,Silver,Active,High,High
12648,155,1,318.05,Bronze,Cool,Low,Low
12649,107,3,623.51,Silver,Cool,Medium,Medium
12650,3,1,314.44,Silver,Active,Low,Low
12651,335,1,114.0,Bronze,Inactive,Low,Low
12652,331,1,919.98,Bronze,Inactive,Medium,Low
12653,149,2,2209.85,Bronze,Cool,High,Low
12654,11,5,601.98,Silver,Active,Medium,Medium
12656,17,5,4051.17,Silver,Active,High,Medium
12657,11,4,1643.18,Silver,Active,High,Medium
12658,19,1,686.05,Silver,Active,Medium,Low
12659,30,1,91.68,Silver,Warm,Low,Low
12660,11,1,245.1,Silver,Active,Low,Low
12662,1,11,3849.78,Silver,Active,High,High
12664,8,9,4881.88,Silver,Active,High,High
12665,325,1,63.0,Bronze,Inactive,Low,Low
12667,58,1,620.13,Silver,Warm,Medium,Low
12668,12,4,3807.15,Silver,Active,High,Medium
12669,151,3,2744.0299999999997,Bronze,Cool,High,Medium
12670,10,5,2996.05,Silver,Active,High,Medium
12672,330,1,225.89999999999998,Bronze,Inactive,Low,Low
12673,5,2,610.52,Silver,Active,Medium,Low
12674,39,4,1970.6,Silver,Warm,High,Medium
12676,25,6,1331.39,Silver,Active,High,High
12678,42,12,17628.46,Gold,Warm,High,High
12679,59,4,1113.02,Silver,Warm,Medium,Medium
12680,1,4,862.81,Silver,Active,Medium,Medium
12681,15,22,13787.54,Gold,Active,High,High
12682,4,31,12279.82,Gold,Active,High,High
12683,4,15,8476.57,Gold,Active,High,High
12684,8,7,2283.63,Silver,Active,High,High
12685,28,6,2863.08,Silver,Active,High,High
12686,372,1,89.14,Bronze,Inactive,Low,Low
12688,114,1,4873.8099999999995,Silver,Cool,High,Low
12689,26,2,1247.61,Silver,Active,High,Low
12690,206,1,389.01,Bronze,Inactive,Medium,Low
12691,28,6,1035.8,Silver,Active,Medium,High
12693,127,4,855.91,Silver,Cool,Medium,Medium
12694,70,2,869.67,Silver,Warm,Medium,Low
12695,7,4,582.1,Silver,Active,Medium,Medium
12697,29,3,957.59,Silver,Active,Medium,Medium
12700,8,4,4939.99,Silver,Active,High,Medium
12701,80,2,797.71,Silver,Warm,Medium,Low
12702,20,1,219.0,Silver,Active,Low,Low
12703,71,1,283.55,Silver,Warm,Low,Low
12704,7,8,2340.84,Silver,Active,High,High
12705,15,9,6868.29,Silver,Active,High,High
12707,292,1,603.42,Bronze,Inactive,Medium,Low
12708,30,10,2712.91,Silver,Warm,High,High
12709,15,15,9706.52,Gold,Active,High,High
12710,97,3,1149.02,Silver,Cool,Medium,Medium
12712,29,13,4396.13,Silver,Active,High,High
12713,1,1,848.55,Silver,Active,Medium,Low
12714,9,5,4708.86,Silver,Active,High,Medium
12715,106,1,343.36,Silver,Cool,Low,Low
12716,4,2,1053.49,Silver,Active,Medium,Low
12717,151,2,1030.98,Bronze,Cool,Medium,Low
12718,71,1,238.25,Silver,Warm,Low,Low
12719,5,2,644.95,Silver,Active,Medium,Low
12720,3,25,5781.73,Gold,Active,High,High
12721,32,6,2656.13,Silver,Warm,High,High
12722,85,4,997.63,Silver,Warm,Medium,Medium
12723,4,5,725.07,Silver,Active,Medium,Medium
12724,5,4,1031.41,Silver,Active,Medium,Medium
12725,371,1,427.8,Bronze,Inactive,Medium,Low
12726,28,7,2609.1,Silver,Active,High,High
12727,11,7,3980.7,Silver,Active,High,High
12728,71,4,836.33,Silver,Warm,Medium,Medium
12729,114,1,453.01,Silver,Cool,Medium,Low
12731,24,12,18895.91,Gold,Active,High,High
12732,180,1,236.26000000000002,Bronze,Inactive,Low,Low
12733,234,1,383.95,Bronze,Inactive,Low,Low
12734,353,1,110.39999999999999,Bronze,Inactive,Low,Low
12735,315,2,779.5699999999999,Bronze,Inactive,Medium,Low
12736,333,1,234.0,Bronze,Inactive,Low,Low
12738,372,1,155.35,Bronze,Inactive,Low,Low
12739,78,2,1013.04,Silver,Warm,Medium,Low
12740,64,1,427.6,Silver,Warm,Medium,Low
12743,134,2,540.13,Silver,Cool,Medium,Low
12744,52,7,21279.29,Gold,Warm,High,High
12747,2,11,4196.01,Silver,Active,High,High
12748,1,210,33053.19,Platinum,Active,High,High
12749,4,5,4090.88,Silver,Active,High,Medium
12750,129,1,275.88,Silver,Cool,Low,Low
12752,81,1,4366.78,Silver,Warm,High,Low
12753,23,6,21429.39,Silver,Active,High,High
12754,236,3,3010.74,Bronze,Inactive,High,Medium
12755,281,2,3811.95,Bronze,Inactive,High,Low
12756,87,1,112.07999999999998,Silver,Warm,Low,Low
12757,16,13,7834.650000000001,Gold,Active,High,High
12758,117,2,2791.59,Silver,Cool,High,Low
12759,52,3,1531.44,Silver,Warm,High,Medium
12762,8,2,1898.52,Silver,Active,High,Low
12763,138,2,494.08,Silver,Cool,Medium,Low
12764,317,1,1693.88,Bronze,Inactive,High,Low
12766,4,7,6989.63,Silver,Active,High,High
12769,239,1,1143.6,Bronze,Inactive,Medium,Low
12770,211,1,1351.45,Bronze,Inactive,High,Low
12772,60,1,892.47,Silver,Warm,Medium,Low
12775,17,5,1386.04,Silver,Active,High,Medium
12778,20,6,822.23,Silver,Active,Medium,High
12779,38,8,3981.36,Silver,Warm,High,High
12781,64,2,826.74,Silver,Warm,Medium,Low
12782,5,5,2330.92,Silver,Active,High,Medium
12783,2,6,2225.91,Silver,Active,High,High
12784,9,2,532.8199999999999,Silver,Active,Medium,Low
12785,364,1,311.95,Bronze,Inactive,Low,Low
12787,10,3,463.66,Silver,Active,Medium,Medium
12789,65,1,91.85,Silver,Warm,Low,Low
12790,192,1,324.92,Bronze,Inactive,Low,Low
12791,374,1,192.60000000000002,Bronze,Inactive,Low,Low
12792,257,1,400.53999999999996,Bronze,Inactive,Medium,Low
12793,335,2,545.48,Bronze,Inactive,Medium,Low
12794,53,2,860.41,Silver,Warm,Medium,Low
12795,19,1,430.48,Silver,Active,Medium,Low
12797,366,1,254.03,Bronze,Inactive,Low,Low
12798,10,3,6977.04,Silver,Active,High,Medium
12802,187,1,427.58,Bronze,Inactive,Medium,Low
12808,37,3,483.65000000000003,Silver,Warm,Medium,Medium
12809,178,1,489.31,Bronze,Cool,Medium,Low
12811,261,3,514.85,Bronze,Inactive,Medium,Medium
12812,45,1,229.64000000000001,Silver,Warm,Low,Low
12814,102,1,125.92,Silver,Cool,Low,Low
12815,148,2,1063.46,Bronze,Cool,Medium,Low
12816,96,2,572.2,Silver,Cool,Medium,Low
12817,281,1,166.04,Bronze,Inactive,Low,Low
12818,262,1,1542.08,Bronze,Inactive,High,Low
12820,3,4,942.34,Silver,Active,Medium,Medium
12821,214,1,92.72,Bronze,Inactive,Low,Low
12822,71,2,948.88,Silver,Warm,Medium,Low
12823,75,5,1759.5,Silver,Warm,High,Medium
12824,60,1,397.12,Silver,Warm,Medium,Low
12826,3,7,1474.72,Silver,Active,High,High
12827,6,3,430.15000000000003,Silver,Active,Medium,Medium
12828,3,6,1018.71,Silver,Active,Medium,High
12829,337,2,293.0,Bronze,Inactive,Low,Low
12830,38,6,6814.64,Silver,Warm,High,High
12831,262,1,215.05,Bronze,Inactive,Low,Low
12832,32,2,383.03,Silver,Warm,Low,Low
12833,145,1,417.38,Bronze,Cool,Medium,Low
12834,283,1,312.38,Bronze,Inactive,Low,Low
12836,59,4,2610.36,Silver,Warm,High,Medium
12837,173,1,134.1,Bronze,Cool,Low,Low
12838,34,2,671.95,Silver,Warm,Medium,Low
12839,3,14,5591.42,Gold,Active,High,High
12840,144,4,2726.77,Silver,Cool,High,Medium
12841,5,25,3991.58,Gold,Active,High,High
12842,70,2,1118.99,Silver,Warm,Medium,Low
12843,66,8,1702.26,Silver,Warm,High,High
12844,29,2,325.96000000000004,Silver,Active,Low,Low
12845,267,4,354.09,Bronze,Inactive,Low,Medium
12847,22,1,843.64,Silver,Active,Medium,Low
12849,31,2,1010.29,Silver,Warm,Medium,Low
12851,97,1,131.81,Silver,Cool,Low,Low
12852,295,1,311.55,Bronze,Inactive,Low,Low
12853,135,6,1957.1000000000001,Silver,Cool,High,High
12854,79,3,1316.25,Silver,Warm,High,Medium
12855,373,1,38.1,Bronze,Inactive,Low,Low
12856,8,6,2170.78,Silver,Active,High,High
12857,211,2,1106.4,Bronze,Inactive,Medium,Low
12863,52,1,521.2,Silver,Warm,Medium,Low
12864,138,1,147.12,Silver,Cool,Low,Low
12865,26,2,1568.23,Silver,Active,High,Low
12866,283,1,559.12,Bronze,Inactive,Medium,Low
12867,26,7,4009.34,Silver,Active,High,High
12868,186,6,1607.0600000000002,Bronze,Inactive,High,High
12871,84,2,380.64,Silver,Warm,Low,Low
12872,327,2,599.97,Bronze,Inactive,Medium,Low
12873,282,1,374.0,Bronze,Inactive,Low,Low
12875,143,2,343.2300000000001,Silver,Cool,Low,Low
12876,58,2,2218.02,Silver,Warm,High,Low
12877,4,12,1535.77,Silver,Active,High,High
12878,236,2,854.99,Bronze,Inactive,Medium,Low
12879,45,3,573.22,Silver,Warm,Medium,Medium
12881,276,1,298.0,Bronze,Inactive,Low,Low
12882,9,2,1463.04,Silver,Active,High,Low
12883,25,4,703.47,Silver,Active,Medium,Medium
12884,88,1,309.05,Silver,Warm,Low,Low
12885,63,3,1175.22,Silver,Warm,Medium,Medium
12886,68,2,1378.4,Silver,Warm,High,Low
12888,214,2,354.12,Bronze,Inactive,Low,Low
12890,24,1,376.71999999999997,Silver,Active,Low,Low
12891,186,3,331.0,Bronze,Inactive,Low,Medium
12893,31,1,176.55,Silver,Warm,Low,Low
12895,42,2,372.8,Silver,Warm,Low,Low
12897,205,2,216.5,Bronze,Inactive,Low,Low
12901,9,28,17654.54,Gold,Active,High,High
12902,265,1,138.68,Bronze,Inactive,Low,Low
12904,18,2,496.06,Silver,Active,Medium,Low
12906,12,5,2919.81,Silver,Active,High,Medium
12908,176,2,750.0,Bronze,Cool,Medium,Low
12909,40,5,2178.67,Silver,Warm,High,Medium
12910,23,8,3075.04,Silver,Active,High,High
12912,3,5,1662.3,Silver,Active,High,Medium
12913,5,5,2483.63,Silver,Active,High,Medium
12915,149,2,363.65,Bronze,Cool,Low,Low
12916,139,4,2944.95,Silver,Cool,High,Medium
12917,128,1,594.0,Silver,Cool,Medium,Low
12919,8,6,1335.19,Silver,Active,High,High
12920,17,1,162.78,Silver,Active,Low,Low
12921,9,37,16587.09,Gold,Active,High,High
12922,161,1,405.38,Bronze,Cool,Medium,Low
12923,64,1,172.82,Silver,Warm,Low,Low
12924,88,4,933.7,Silver,Warm,Medium,Medium
12925,5,2,694.05,Silver,Active,Medium,Low
12928,35,5,2062.7000000000003,Silver,Warm,High,Medium
12929,312,1,117.85,Bronze,Inactive,Low,Low
12930,78,2,415.8,Silver,Warm,Medium,Low
12931,22,15,42055.96,Gold,Active,High,High
12933,24,3,607.53,Silver,Active,Medium,Medium
12935,2,7,2160.7,Silver,Active,High,High
12936,17,4,1063.9,Silver,Active,Medium,Medium
12937,15,4,1504.27,Silver,Active,High,Medium
12938,26,1,114.14,Silver,Active,Low,Low
12939,64,8,11581.8,Silver,Warm,High,High
12940,55,2,899.69,Silver,Warm,Medium,Low
12942,131,3,675.6,Silver,Cool,Medium,Medium
12944,36,2,604.51,Silver,Warm,Medium,Low
12945,288,1,462.95,Bronze,Inactive,Medium,Low
12947,144,6,1603.99,Silver,Cool,High,High
12948,16,7,2064.95,Silver,Active,High,High
12949,31,8,4167.22,Silver,Warm,High,High
12950,2,3,1843.0,Silver,Active,High,Medium
12951,9,6,1064.07,Silver,Active,Medium,High
12952,6,4,1387.79,Silver,Active,High,Medium
12953,10,1,329.85,Silver,Active,Low,Low
12955,1,11,4757.16,Silver,Active,High,High
12956,306,1,108.07,Bronze,Inactive,Low,Low
12957,10,8,4017.54,Silver,Active,High,High
12962,7,2,266.39,Silver,Active,Low,Low
12963,8,8,1856.63,Silver,Active,High,High
12965,89,1,769.8100000000001,Silver,Warm,Medium,Low
12966,10,1,160.18,Silver,Active,Low,Low
12967,358,2,1660.9,Bronze,Inactive,High,Low
12968,112,1,135.95,Silver,Cool,Low,Low
12970,7,4,405.47,Silver,Active,Medium,Medium
12971,4,86,11189.91,Gold,Active,High,High
12974,198,1,144.8,Bronze,Inactive,Low,Low
12976,212,1,738.6,Bronze,Inactive,Medium,Low
12977,156,1,39.239999999999995,Bronze,Cool,Low,Low
12980,158,9,7374.900000000001,Silver,Cool,High,High
12981,30,2,372.21999999999997,Silver,Warm,Low,Low
12982,243,1,390.54,Bronze,Inactive,Medium,Low
12984,19,1,97.5,Silver,Active,Low,Low
12985,1,2,1239.38,Silver,Active,High,Low
12987,74,2,558.7,Silver,Warm,Medium,Low
12988,292,1,505.82,Bronze,Inactive,Medium,Low
12989,3,15,6924.110000000001,Gold,Active,High,High
12990,31,3,409.5,Silver,Warm,Medium,Medium
12991,23,2,503.76,Silver,Active,Medium,Low
12993,23,4,414.76,Silver,Active,Medium,Medium
12994,4,3,974.4200000000001,Silver,Active,Medium,Medium
12995,85,1,211.32,Silver,Warm,Low,Low
12997,22,4,1226.89,Silver,Active,High,Medium
12999,196,3,455.88,Bronze,Inactive,Medium,Medium
13000,107,3,534.85,Silver,Cool,Medium,Medium
13001,4,13,9785.970000000001,Gold,Active,High,High
13002,318,1,120.94999999999999,Bronze,Inactive,Low,Low
13003,106,3,149.05,Silver,Cool,Low,Medium
13004,12,18,5655.91,Gold,Active,High,High
13005,174,2,513.7,Bronze,Cool,Medium,Low
13006,56,1,81.57,Silver,Warm,Low,Low
13008,323,1,229.46999999999997,Bronze,Inactive,Low,Low
13011,372,1,50.550000000000004,Bronze,Inactive,Low,Low
13012,9,8,1646.8400000000001,Silver,Active,High,High
13013,1,13,4810.9400000000005,Silver,Active,High,High
13014,11,10,3466.2799999999997,Silver,Active,High,High
13015,53,5,3339.64,Silver,Warm,High,Medium
13016,73,3,789.89,Silver,Warm,Medium,Medium
13017,7,1,204.0,Silver,Active,Low,Low
13018,16,28,7277.7,Gold,Active,High,High
13021,4,9,2616.38,Silver,Active,High,High
13023,64,2,689.9,Silver,Warm,Medium,Low
13026,1,5,975.36,Silver,Active,Medium,Medium
13027,114,6,6912.0,Silver,Cool,High,High
13028,23,2,661.3199999999999,Silver,Active,Medium,Low
13029,31,3,1247.5,Silver,Warm,High,Medium
13030,11,2,752.4399999999999,Silver,Active,Medium,Low
13032,52,2,1010.18,Silver,Warm,Medium,Low
13033,357,1,190.55,Bronze,Inactive,Low,Low
13034,55,2,642.77,Silver,Warm,Medium,Low
13035,74,2,921.88,Silver,Warm,Medium,Low
13037,138,3,881.07,Silver,Cool,Medium,Medium
13038,80,3,908.46,Silver,Warm,Medium,Medium
13040,9,2,676.99,Silver,Active,Medium,Low
13043,273,1,516.42,Bronze,Inactive,Medium,Low
13044,291,1,560.47,Bronze,Inactive,Medium,Low
13045,99,1,305.28000000000003,Silver,Cool,Low,Low
13046,31,2,629.31,Silver,Warm,Medium,Low
13047,32,10,3237.54,Silver,Warm,High,High
